,學期,學校,,,學校名稱,系所代碼,系所名稱,學制,輔系人次
,,設立別 ,學校類別,學校代碼,,,,,
101,1,公立,一般大學,1,國立政治大學,140101,教育學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,140101,教育學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,140101,教育學系,學士班(日間),157
101,1,公立,一般大學,1,國立政治大學,140203,華語文教學博士學位學程,博士班,0
101,1,公立,一般大學,1,國立政治大學,140203,華語文教學碩士學位學程,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,140401,幼兒教育研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,140701,教育行政與政策研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,140709,學校行政碩士在職專班,碩士在職專班,0
101,1,公立,一般大學,1,國立政治大學,220101,台灣文學研究所,博士班,0
101,1,公立,一般大學,1,國立政治大學,220101,台灣文學研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,220201,中國文學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,220201,中國文學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,220201,中國文學系,學士班(日間),135
101,1,公立,一般大學,1,國立政治大學,220307,英國語文學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,220307,英國語文學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,220307,英國語文學系,學士班(日間),109
101,1,公立,一般大學,1,國立政治大學,220320,日本語文學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,220320,日本語文學系,學士班(日間),55
101,1,公立,一般大學,1,國立政治大學,220322,阿拉伯語文學系,學士班(日間),54
101,1,公立,一般大學,1,國立政治大學,220324,韓國語文學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,220324,韓國語文學系,學士班(日間),85
101,1,公立,一般大學,1,國立政治大學,220326,土耳其語文學系,學士班(日間),64
101,1,公立,一般大學,1,國立政治大學,220327,歐洲語文學系,學士班(日間),150
101,1,公立,一般大學,1,國立政治大學,220333,斯拉夫語文學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,220333,斯拉夫語文學系,學士班(日間),69
101,1,公立,一般大學,1,國立政治大學,220701,語言學研究所,博士班,0
101,1,公立,一般大學,1,國立政治大學,220701,語言學研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,220801,宗教研究所,博士班,0
101,1,公立,一般大學,1,國立政治大學,220801,宗教研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,220901,歷史學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,220901,歷史學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,220901,歷史學系,學士班(日間),105
101,1,公立,一般大學,1,國立政治大學,220903,台灣史研究所,博士班,0
101,1,公立,一般大學,1,國立政治大學,220903,台灣史研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,221101,哲學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,221101,哲學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,221101,哲學系,學士班(日間),46
101,1,公立,一般大學,1,國立政治大學,310101,經濟學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,310101,經濟學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,310101,經濟學系,學士班(日間),94
101,1,公立,一般大學,1,國立政治大學,310201,政治學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,310201,政治學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,310201,政治學系,學士班(日間),79
101,1,公立,一般大學,1,國立政治大學,310301,社會學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,310301,社會學系,學士班(日間),55
101,1,公立,一般大學,1,國立政治大學,310401,民族學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,310401,民族學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,310401,民族學系,學士班(日間),56
101,1,公立,一般大學,1,國立政治大學,310501,心理學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,310501,心理學系,學士班(日間),39
101,1,公立,一般大學,1,國立政治大學,310506,輔導與諮商碩士學位學程,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,310702,東亞研究所,博士班,0
101,1,公立,一般大學,1,國立政治大學,310702,東亞研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,310705,日本研究碩士學位學程,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,310709,俄羅斯研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,310801,公共行政學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,310801,公共行政學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,310801,公共行政學系,學士班(日間),59
101,1,公立,一般大學,1,國立政治大學,310811,地政學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,310811,地政學系,學士班(日間),122
101,1,公立,一般大學,1,國立政治大學,310905,外交學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,310905,外交學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,310905,外交學系,學士班(日間),121
101,1,公立,一般大學,1,國立政治大學,311002,國家發展研究所,博士班,0
101,1,公立,一般大學,1,國立政治大學,311002,國家發展研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,311003,勞工研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,320116,傳播學士學位學程,學士班(日間),35
101,1,公立,一般大學,1,國立政治大學,320201,新聞學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,320201,新聞學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,320201,新聞學系,學士班(日間),125
101,1,公立,一般大學,1,國立政治大學,320301,廣播電視學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,320301,廣播電視學系,學士班(日間),47
101,1,公立,一般大學,1,國立政治大學,320603,圖書資訊與檔案學研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,320802,廣告學系,學士班(日間),50
101,1,公立,一般大學,1,國立政治大學,340105,智慧財產研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,340201,會計學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,340201,會計學系,學士班(日間),74
101,1,公立,一般大學,1,國立政治大學,340301,企業管理學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,340301,企業管理學系,學士班(日間),75
101,1,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,學士班(日間),57
101,1,公立,一般大學,1,國立政治大學,340504,財務管理學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,340504,財務管理學系,學士班(日間),42
101,1,公立,一般大學,1,國立政治大學,340505,金融學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,340505,金融學系,學士班(日間),47
101,1,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,學士班(日間),40
101,1,公立,一般大學,1,國立政治大學,340701,財政學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,340701,財政學系,學士班(日間),114
101,1,公立,一般大學,1,國立政治大學,349901,科技管理研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,380101,法律學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,380101,法律學系,學士班(日間),186
101,1,公立,一般大學,1,國立政治大學,380204,法律科際整合研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,389999,法學院碩士在職專班,碩士在職專班,0
101,1,公立,一般大學,1,國立政治大學,440302,應用物理研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,460102,應用數學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,460102,應用數學系,學士班(日間),15
101,1,公立,一般大學,1,國立政治大學,460201,統計學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,460201,統計學系,學士班(日間),28
101,1,公立,一般大學,1,國立政治大學,480109,資訊管理學系,博士班,0
101,1,公立,一般大學,1,國立政治大學,480109,資訊管理學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,480109,資訊管理學系,學士班(日間),52
101,1,公立,一般大學,1,國立政治大學,520116,資訊科學系,碩士在職專班,0
101,1,公立,一般大學,1,國立政治大學,520116,資訊科學系,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,520116,資訊科學系,學士班(日間),19
101,1,公立,一般大學,1,國立政治大學,720111,神經科學研究所,碩士班(日間),0
101,1,公立,一般大學,1,國立政治大學,760302,社會工作研究所,碩士班(日間),0
101,1,公立,一般大學,2,國立清華大學,220101,台灣文學研究所,博士班,0
101,1,公立,一般大學,2,國立清華大學,220101,台灣文學研究所,碩士班(日間),0
101,1,公立,一般大學,2,國立清華大學,220201,中國文學系,博士班,0
101,1,公立,一般大學,2,國立清華大學,220201,中國文學系,碩士班(日間),0
101,1,公立,一般大學,2,國立清華大學,220201,中國文學系,學士班(日間),13
101,1,公立,一般大學,2,國立清華大學,220301,外國語文學系,碩士班(日間),0
101,1,公立,一般大學,2,國立清華大學,220301,外國語文學系,學士班(日間),25
101,1,公立,一般大學,2,國立清華大學,220701,語言學研究所,博士班,0
101,1,公立,一般大學,2,國立清華大學,220701,語言學研究所,碩士班(日間),0
101,1,公立,一般大學,2,國立清華大學,220901,歷史研究所,博士班,0
101,1,公立,一般大學,2,國立清華大學,220901,歷史研究所,碩士班(日間),0
